"nombre","tipo","subtipo","facultad","modalidad","semestres","creditos","costo_semestral_cop","costo_semestral_usd","costo_inscripcion_cop","codigo_snies","titulo_otorgado","acreditacion_nacional","acreditacion_internacional","descripcion","keywords","url"
"Universidad de la Sabana | Universidad de la Sabana","Educación Continua","","Escuela Internacional de Ciencias Económicas y Administrativas Facultad de Comunicación Facultad de Estudi","Hyflex","8","133","","","","","","","","Explora nuestra oferta académica y encuentra la carrera perfecta para ti. ¡Inicia tu proceso de admisión y únete a una comunidad de líderes con impacto tangible!","","https://www.unisabana.edu.co/"
"Administración & Servicio","Pregrado","","Escuela Internacional de Ciencias Económicas y Administrativas","Presencial","9","162","20321000","5110","130000","104355","Profesional en Administración & Servicio","Alta Calidad mediante Resolución No. 016907 del 20 de septiembre de 2023","EFMD","La carrera de Administración & Servicio de la Universidad de La Sabana es única en el país y cuenta con acreditación de alta calidad, es pionera en la formación profesional de administradores líderes en servicio y hospitalidad que dominan la gestión empresarial y el diseño de experiencias con visión estratégica, humana y global.","administración y servicio, customer experience, gestión del servicio, hospitalidad y calidad, Unisabana,","https://www.unisabana.edu.co/programas/pregrados/administracion-y-servicio"
"Administración de Mercadeo y Logística Internacionales","Pregrado","","Escuela Internacional de Ciencias Económicas y Administrativas","Presencial","9","162","20321000","5110","130000","101896","Administrador de Mercadeo y Logística Internacionales","Alta Calidad mediante Resolución No. 024574 del 27 de diciembre de 2022, otorgada por el Ministerio de Educación Nacional","EFMD-","El objeto de estudio de la carrera de Administración de Mercadeo y Logística Internacionales de la Universidad de La Sabana es el conocimiento teórico-práctico de tres saberes específicos: la administración, el mercadeo y la logística en el contexto internacional, abordado con una visión multidisciplinaria, contrastada con la realidad.","administración de mercadeo, logística internacional, mercadeo, unisabana,","https://www.unisabana.edu.co/programas/pregrados/administracion-de-mercadeo-y-logistica-internacionales"
"Gastronomía","Pregrado","","Facultad Continúa tu formación Pregrados Relacionados Contacto Información sobre el progra","Presencial","9","162","20321000","5110","130000","53517","Gastrónomo","","","La carrera de Gastronomía de la Universidad de La Sabana forma profesionales en las áreas de gestión empresarial y emprendimiento (Food Business and Entrepreneurship), artes culinarias (Culinary Arts), estudios de la alimentación (Food Studies), ciencia y tecnología de alimentos (Food Science).","carrera de gastronomía, gestión gastronómica, artes culinarias, chef profesional, unisabana,","https://www.unisabana.edu.co/programas/pregrados/gastronomia"
"Economía y Finanzas Internacionales","Pregrado","","Facultad Continúa tu formación Pregrados Relacionados Contacto Información sobre el progra","Presencial","9","162","20321000","5110","130000","53516","Economista con énfasis en Finanzas Internacionales Renovación Registro Calificado según Resolución No","Acreditación mediante Resolución No","","La carrera de Economía y Finanzas Internacionales de la Universidad de La Sabana ofrece una formación integral en economía y finanzas, con una sólida base teórica, complementada con el uso de herramientas cuantitativas y tecnológicas, y una orientación práctica alineada con las necesidades del país y del contexto internacional.","economía, finanzas internacionales, carrera de economía, mercado de capitales, unisabana,","https://www.unisabana.edu.co/programas/pregrados/economia-y-finanzas-internacionales"
"Administración de Empresas","Pregrado","","Escuela Internacional de Ciencias Económicas y Administrativas","Presencial","9","162","20321000","5110","130000","1240","Administrador de Empresas","","EFMD-","La carrera de Administración de Empresas de la Universidad de La Sabana desarrolla el espíritu emprendedor en sus estudiantes, de manera que sean profesionales propositivos, innovadores, capaces de generar proyectos sostenibles y de contribuir al desarrollo del país a través de la generación de empleo y de riqueza, con sentido de responsabilidad social y vocación de servicio.","administración de empresas, emprendimiento, carrera de administración, liderazgo empresarial, innovación, unisabana","https://www.unisabana.edu.co/programas/pregrados/administracion-de-empresas"
"Administración de Negocios Internacionales","Pregrado","","ESCUELA INTERNACIONAL DE CIENCIAS ECONÓMICAS Y ADMINISTRATIVAS","Presencial","10","180","20321000","5110","130000","11123","","Acreditación mediante Resolución 017204 del 24 de octubre de 2018, otorgada por el Ministerio de Educación Nacional","EFMD","La carrera de Administración de Negocios Internacionales ofrece una visión global del entorno y aborda estrategias y procesos de internacionalización de las organizaciones. Además, se enfoca en aplicar conceptos, técnicas y procesos administrativos en negocios de cualquier tamaño que operan en un entorno global y competitivo.","administración, carrera en negocios internacionales, negocios internacionales, unisabana, comercio internacional, negocios, negociación, toma de decisiones, decisiones estratégicas,","https://www.unisabana.edu.co/programas/pregrados/administracion-de-negocios-internacionales"
"Economía y Finanzas Internacionales Virtual","Pregrado","","Relacionados Ver todas Pregrado","Virtual","8","153","14379000","3615","","116442","Economista con énfasis en Finanzas Internacionales","","","La carrera de Economía y Finanzas Internacionales en modalidad virtual de la Universidad de La Sabana forma profesionales integrales con sólidos conocimientos en teoría económica, economía aplicada, finanzas internacionales e instrumentos cuantitativos. El enfoque educativo prepara a los estudiantes para la formulación de estrategias empresariales efectivas y políticas de desarrollo nacionales e internacionales. Los graduados estarán capacitados en el uso de herramientas para evaluar contextos y desarrollar modelos con variables que impactan el entorno empresarial y económico.","economía virtual, centroamérica, carrera virtual, finanzas internacionales, programación, inteligencia artificial, green finance, fintech, inversiones, unisabana","https://www.unisabana.edu.co/programas/pregrados/economia-y-finanzas-internacionales-virtual"
"Doctorado en Administración de Organizaciones","Posgrado","Doctorado","Escuela Internacional de Ciencias Económicas y Administrativas Doctorado en","Presencial","6","90","150000","7021","","109157","Doctor en Administración de Organizaciones","","","El Doctorado en Administración de Organizaciones de la Universidad de La Sabana es un programa innovador y disruptivo, que destaca por su propuesta de valor basada en pilares fundamentales: un plan de estudios personalizado y flexible, una estancia internacional de investigación obligatoria, una sólida formación alineada con las megatendencias sociales y tecnológicas, un enfoque en investigación aplicada para resolver problemas organizacionales complejos y la posibilidad de realizar una cotutela internacional de tesis.","doctorado en administración, gestión organizacional, investigación aplicada, logística, unisabana","https://www.unisabana.edu.co/programas/posgrados/doctorado-en-administracion-de-organizaciones"
"Maestría en Gerencia de Negocios de la Hospitalidad","Posgrado","Maestría","","Virtual","3","49","25792000","","","116092","Magíster en Gerencia de Negocios de la Hospitalidad","","equisitos Se tiene en cuenta la formación académica y la trayectoria profesional del aspirante para identificar la relación de su perfil con el campo de la","La Maestría en Gerencia de Negocios de la Hospitalidad de la Universidad de La Sabana propone formar líderes que estratégicamente orienten la organización, centrados en servicio y negocios de la hospitalidad, en beneficio de la organización y la sociedad.","hospitality management, customer experience, gerencia de servicios, negocios de hospitalidad, unisabana","https://www.unisabana.edu.co/programas/posgrados/maestria-en-gerencia-de-negocios-de-la-hospitalidad"
